run,a0,winding_add,winding_sub,product,overlap,residual_reflected,residual_rotated,reflection_shift,monotonicity,planarity
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,31,-1.999999903873089,1.9999997520911073,-3.9999993119284163,0.9147597551345825,0.2279594195030406,1.2636060434083798,0,0.49557522123893805,0.23285174814680112
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,63,-5.881551785288758e-07,1.9999996003091258,-1.176310121977494e-06,0.9628849029541016,0.22391072848464177,1.2144207203175503,0,0.5309734513274336,0.22853108473330852
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,51,3.0000009182835043,-3.0000003111555777,-9.000003688317532,0.9754859209060669,0.21863899462898156,1.2044793241904306,0,0.6017699115044248,0.2633058181681941
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,4,6.0000006223111555,-5.000000215028667,-30.000004401727914,0.9511440992355347,0.21768058562872833,1.2509887969585707,0,0.6371681415929203,0.25915237089503534
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,82,-7.999999615492356,7.000000422465718,-56.00000068817207,0.9065625667572021,0.2234205314582306,1.2652466558958608,0,0.6460176991150443,0.2436829616197394
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,67,6.999999815337793,-3.999999807746178,-27.99999791557445,0.9338500499725342,0.23614118519680974,1.2712992876949045,0,0.663716814159292,0.2524834518950222
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,87,4.99999960790074,-5.000000215028667,-24.99999911464695,0.9005924463272095,0.21796400440222247,1.2608990942541267,0,0.5530973451327433,0.2675603503271208
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,99,22.99999965345043,-22.99999965345043,-528.99998405872,0.8293232917785645,0.2234450450453118,1.2330457549254583,0,1.0,0.25795846457764837
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,83,1.000000103718526,-0.9999998001545629,-0.9999999038730681,0.9572978615760803,0.21684283116710265,1.2558915919941824,0,0.4911504424778761,0.23126911257377894
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,7,22.99999965345043,-22.99999965345043,-528.99998405872,0.9708943367004395,0.22564620298233284,1.281070095451067,0,0.995575221238938,0.2668539435645445
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,108,2.000000207437052,1.1383648616687918e-07,2.2767299594766346e-07,0.9157998561859131,0.22646381436495247,1.2437778969184783,0,0.504424778761062,0.2513580468385374
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,27,-6.999999815337793,7.000001029593645,-49.000005914519875,0.9486469030380249,0.21619363317806478,1.245918646647952,0,0.6061946902654867,0.2619459445385877
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,55,-3.999999807746178,1.999999903873089,-7.99999923098473,0.9675487875938416,0.2215478574517104,1.2883407754422176,0,0.6592920353982301,0.23217426471303526
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,1,3.000000007591615,-1.9999996003091258,-5.999998816110605,0.9004809856414795,0.24008861627929562,1.20500500132354,0,0.5575221238938053,0.24413048589501107
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,18,-3.000000614719541,4.000000111310141,-12.000002792808655,0.966971755027771,0.22661062679219415,1.2232004436968977,0,0.6371681415929203,0.233494480358042
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,70,-22.99999965345043,23.000002081962133,-529.0000399144883,0.905332088470459,0.2252088172188824,1.28126635982252,0,1.0,0.26867366239209367
