regime,axis,step,scale,betti1,t_g,run
reference,raw,0,9.64126606953824,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,10.247377030985547,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,10.891591960826302,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,11.576306315502789,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,12.304066144999322,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,13.077577560104784,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,13.89971679484705,18,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,14.773540901515803,16,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,0,15.702299118041992,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.3371385931968689,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.35833325740276323,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.38086035224657716,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.40480364274518565,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.4302521599141975,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.45730053182194047,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.48604933545559387,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.5166054707078515,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.5490825578747519,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.5836013601427356,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.6202902326359111,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.659285599693272,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.700732462150579,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.7447849365131879,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.7916068280246932,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.8413722397622906,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.8942662200237249,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,0.9504854504130783,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.0102389771839806,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.0737489885596805,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.1412516409203728,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.2129979369298853,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.2892546588669638,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.3703053606316644,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.4564514221155411,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.5480131698562114,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.6453310681433577,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.7487669850051824,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.8587055377827804,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,1.9755555232958246,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,2.099751437917514,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,2.2317550932110453,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,2.37205733313521,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,2.5211798592043992,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,2.6796771703897075,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,2.8481386249744878,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,3.027190632031188,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,3.2174989806682848,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,3.419771315708404,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,3.634759769003233,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,3.8632637561695193,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
